Booking ID,Agent,Country,Package Type,Booking Date,Payment Date,Payment Status,Total Amount
BKG1039,Divya  ,UK,Corporate,2025-07-22,None,Pending,"45,000 INR"
BKG1040,Meena  ,United Arab Emirates,Adventure,2025-08-23,None,Pending,45000
BKG1041,Gaurav,USA,Leisure,2025-03-15,2025-04-12 00:00:00,Paid,35000
BKG1042,Ritika,Thailand,Adventure,2025-05-16,2025-05-24 00:00:00,Paid,45000
BKG1043,Ramesh,India,Adventure,2025-03-13,2025-03-24 00:00:00,Paid,25000
BKG1044,Divya,Singapore,Corporate,2025-05-07,None,Pending,15000
BKG1045,Vikram,USA,Leisure,2025-05-15,None,Pending,25000
BKG1046,Amit,USA,Corporate,2025-08-08,2025-09-02 00:00:00,Paid,45000
BKG1047,Deepa,United Arab Emirates,Family,2025-07-24,None,Cancelled,35000
BKG1048,Avtar  ,UAE,Corporate,2025-07-05,2025-07-10 00:00:00,Paid,65000
BKG1049,Vikram,UAE,Corporate,2025-04-23,2025-05-19 00:00:00,PAID,"45,000 INR"
BKG1050,Avtar,United Arab Emirates,Corporate,2025-03-12,2025-04-10 00:00:00,Paid,"45,000 INR"
BKG1051,Amit,UK,Leisure,2025-09-18,None,Pending,"45,000 INR"
BKG1052,Pooja,UAE,Corporate,2025-09-10,2025-09-30 00:00:00,Paid,65000
BKG1053,Meena,Thailand,Leisure,2025-02-16,2025-02-17 00:00:00,paid,"45,000 INR"
BKG1054,Deepa,India,Honeymoon,2025-01-25,2025-02-03 00:00:00,Paid,35000
BKG1055,Pooja,USA,Family,2025-02-26,2025-03-26 00:00:00,Paid,65000
BKG1056,Sonia,USA,Leisure,2025-03-20,2025-03-25 00:00:00,Paid,"45,000 INR"
BKG1057,Deepa,Thailand,Honeymoon,2025-03-23,2025-03-28 00:00:00,Paid,65000
BKG1058,Pooja,UAE,Leisure,2025-08-05,2025-08-23 00:00:00,Paid,45000
BKG1059,Anil,USA,Leisure,2025-02-02,2025-02-11 00:00:00,paid,35000
BKG1060,Raj,Singapore,Family,2025-07-17,2025-08-12 00:00:00,Paid,55000
BKG1061,Sonia,India,Adventure,2025-07-15,None,Pending,15000
BKG1062,Anil,India,Adventure,2025-08-28,None,Pending,"45,000 INR"
BKG1063,Gaurav,USA,Leisure,2025-09-28,None,Pending,15000
BKG1064,Avtar,United Arab Emirates,Corporate,2025-05-09,2025-05-15 00:00:00,Paid,65000
BKG1065,Tina,USA,Honeymoon,2025-01-06,2025-01-10 00:00:00,Paid,15000
BKG1066,Nisha,United Arab Emirates,Corporate,2025-02-28,None,Pending,35000
BKG1067,Suresh,USA,Corporate,2025-05-17,2025-06-08 00:00:00,PAID,35000
BKG1068,Avtar,Singapore,Leisure,2025-06-24,2025-07-22 00:00:00,Paid,25000
BKG1069,Sameer,UK,Leisure,2025-02-27,2025-02-28 00:00:00,Paid,"45,000 INR"
BKG1070,Sameer,India,Leisure,2025-05-31,2025-06-05 00:00:00,Paid,25000
BKG1071,Anil,USA,Leisure,2025-08-11,2025-08-12 00:00:00,PAID,15000
BKG1072,Karan,Singapore,Adventure,2025-03-22,2025-04-03 00:00:00,Paid,55000
BKG1073,Ramesh,United Arab Emirates,Leisure,2025-08-21,2025-09-16 00:00:00,Paid,25000
BKG1074,Raj,United Arab Emirates,Adventure,2025-01-02,None,Cancelled,25000
BKG1075,Sonia,India,Adventure,2025-05-15,2025-06-10 00:00:00,Paid,35000
BKG1076,Raj,Thailand,Leisure,2025-09-14,2025-09-22 00:00:00,Paid,55000
BKG1077,Sonia,USA,Family,2025-04-02,None,Pending,65000
BKG1078,Avtar,UAE,Honeymoon,2025-09-17,2025-10-06 00:00:00,paid,15000
BKG1079,Gaurav,United Arab Emirates,Corporate,2025-02-24,2025-03-07 00:00:00,Paid,25000
BKG1080,Ritika,UK,Adventure,2025-06-02,2025-06-03 00:00:00,Paid,55000
BKG1081,Anil,UK,Honeymoon,2025-09-17,2025-09-23 00:00:00,Paid,"45,000 INR"
BKG1082,Amit,United Arab Emirates,Family,2025-04-12,2025-04-21 00:00:00,Paid,55000
BKG1083,Karan,Thailand,Corporate,2025-03-20,None,Pending,15000
BKG1084,Sameer,Thailand,Corporate,2025-07-11,2025-07-13 00:00:00,Paid,55000
BKG1243,Gaurav,Singapore,Adventure,2025-03-24,2025-03-29 00:00:00,Paid,55000
BKG1086,Avtar,UK,Leisure,2025-01-01,2025-01-25 00:00:00,Paid,55000
BKG1087,Sameer,Singapore,Family,2025-06-15,None,Pending,"45,000 INR"
BKG1088,Anil,UK,Adventure,2025-09-08,None,Pending,25000
BKG1089,Sameer,USA,Family,2025-01-10,None,Cancelled,15000
BKG1090,Karan  ,USA,Leisure,2025-02-27,2025-03-13 00:00:00,Paid,"45,000 INR"
BKG1091,Deepa,UAE,Leisure,2025-07-05,None,Cancelled,55000
BKG1092,Vikram,USA,Adventure,2025-06-07,None,Cancelled,55000
BKG1093,Sameer,UAE,Leisure,2025-05-03,2025-05-20 00:00:00,Paid,25000
BKG1094,Anil,USA,Honeymoon,2025-01-30,2025-02-03 00:00:00,Paid,15000
BKG1095,Karan,India,Corporate,2025-05-04,2025-05-28 00:00:00,Paid,35000
BKG1096,Vikram,USA,Adventure,2025-02-10,2025-02-13 00:00:00,Paid,"45,000 INR"
BKG1097,Raj,Singapore,Family,2025-02-13,2025-03-01 00:00:00,Paid,25000
BKG1098,Sonia,United Arab Emirates,Honeymoon,2025-09-06,2025-09-21 00:00:00,Paid,15000
BKG1099,Deepa  ,Singapore,Adventure,2025-02-05,2025-03-02 00:00:00,Paid,"45,000 INR"
BKG1100,Deepa,United Arab Emirates,Leisure,2025-03-06,None,Cancelled,55000
BKG1101,Ramesh,Thailand,Leisure,2025-03-07,2025-03-19 00:00:00,Paid,15000
BKG1102,Pooja,Singapore,Leisure,2025-09-01,None,Cancelled,15000
BKG1103,Nisha,Thailand,Leisure,2025-03-26,None,Pending,65000
BKG1104,Raj  ,UAE,Family,2025-05-16,None,Cancelled,15000
BKG1105,Suresh,UAE,Honeymoon,2025-09-28,None,Pending,35000
BKG1106,Arjun,India,Corporate,2025-08-05,2025-08-22 00:00:00,Paid,15000
BKG1107,Divya,USA,Family,2025-04-19,None,Pending,35000
BKG1108,Karan,Singapore,Family,2025-04-13,2025-05-02 00:00:00,Paid,55000
BKG1109,Raj,Thailand,Corporate,2025-06-09,2025-06-13 00:00:00,Paid,35000
BKG1110,Pooja,United Arab Emirates,Corporate,2025-07-24,2025-08-08 00:00:00,paid,"45,000 INR"
BKG1111,Deepa,UAE,Leisure,2025-07-11,2025-07-28 00:00:00,Paid,55000
BKG1112,Tina,USA,Family,2025-08-13,2025-08-21 00:00:00,Paid,55000
BKG1113,Divya,UAE,Adventure,2025-09-22,None,Pending,35000
BKG1114,Pooja,United Arab Emirates,Corporate,2025-08-20,None,Cancelled,25000
BKG1115,Raj,USA,Corporate,2025-03-03,None,Pending,45000
BKG1116,Nisha,USA,Honeymoon,2025-05-07,2025-05-27 00:00:00,Paid,15000
BKG1117,Ritika,Thailand,Adventure,2025-04-26,None,Pending,65000
BKG1118,Ramesh,Thailand,Adventure,2025-02-02,2025-02-04 00:00:00,Paid,45000
BKG1119,Pooja  ,Singapore,Corporate,2025-06-23,None,Pending,15000
BKG1120,Monika,Singapore,Leisure,2025-01-11,2025-02-04 00:00:00,PAID,15000
BKG1121,Gaurav,UK,Honeymoon,2025-04-28,None,Pending,55000
BKG1122,Gaurav,UK,Adventure,2025-04-23,None,Cancelled,15000
BKG1123,Arjun,India,Corporate,2025-01-04,2025-01-30 00:00:00,Paid,65000
BKG1124,Tina,UAE,Adventure,2025-02-06,None,Pending,15000
BKG1125,Raj,Singapore,Honeymoon,2025-01-31,None,Cancelled,35000
BKG1126,Anil,Thailand,Honeymoon,2025-04-28,2025-05-28 00:00:00,Paid,45000
BKG1127,Anil,United Arab Emirates,Family,2025-02-04,None,Cancelled,35000
BKG1128,Arjun,Thailand,Corporate,2025-01-17,2025-02-14 00:00:00,Paid,65000
BKG1129,Pooja,UAE,Honeymoon,2025-06-19,None,Pending,15000
BKG1130,Sonia,UK,Family,2025-02-06,None,Cancelled,"45,000 INR"
BKG1131,Sameer,Thailand,Family,2025-09-21,None,Pending,65000
BKG1132,Raj,India,Adventure,2025-05-02,2025-05-24 00:00:00,Paid,55000
BKG1133,Monika,UAE,Adventure,2025-05-23,None,Pending,35000
BKG1134,Avtar,UK,Family,2025-09-06,None,Pending,35000
BKG1135,Sonia,United Arab Emirates,Adventure,2025-04-20,2025-05-07 00:00:00,paid,25000
BKG1136,Karan,UK,Honeymoon,2025-03-09,2025-03-19 00:00:00,Paid,15000
BKG1137,Anil,USA,Leisure,2025-08-31,2025-09-15 00:00:00,Paid,55000
BKG1743,Nisha,India,Honeymoon,2025-05-05,None,Pending,"45,000 INR"
BKG1139,Ramesh,UAE,Family,2025-08-31,2025-09-21 00:00:00,Paid,35000
BKG1140,Gaurav,United Arab Emirates,Family,2025-07-28,None,Pending,35000
BKG1141,Deepa,India,Honeymoon,2025-04-08,None,Pending,55000
BKG1763,Sonia  ,UK,Adventure,2025-02-18,None,Cancelled,65000
BKG1143,Arjun,India,Adventure,2025-02-19,None,Pending,65000
BKG1144,Suresh,UAE,Family,2025-08-09,None,Pending,15000
BKG1145,Suresh,Singapore,Corporate,2025-07-01,2025-07-02 00:00:00,Paid,25000
BKG1146,Arjun,India,Adventure,2025-08-05,2025-08-07 00:00:00,Paid,35000
BKG1147,Gaurav,USA,Honeymoon,2025-07-30,2025-08-15 00:00:00,Paid,25000
BKG1148,Raj,India,Adventure,2025-08-28,2025-09-25 00:00:00,Paid,65000
BKG1149,Ritika,UK,Honeymoon,2025-01-28,None,Pending,65000
BKG1150,Sameer  ,UK,Family,2025-02-20,None,Pending,45000
BKG1151,Suresh,United Arab Emirates,Adventure,2025-02-01,None,Pending,"45,000 INR"
BKG1152,Karan,UK,Honeymoon,2025-07-26,None,Cancelled,15000
BKG1153,Suresh,Thailand,Family,2025-06-23,None,,45000
BKG1154,Suresh,UAE,Corporate,2025-02-25,None,Cancelled,"45,000 INR"
BKG1155,Suresh,UAE,Honeymoon,2025-05-08,None,Pending,45000
BKG1156,Ritika,Singapore,Corporate,2025-04-09,None,Pending,45000
BKG1157,Ritika,Singapore,Corporate,2025-04-08,2025-04-21 00:00:00,Paid,15000
BKG1158,Karan,UAE,Leisure,2025-08-18,2025-09-01 00:00:00,Paid,15000
BKG1159,Anil,USA,Adventure,2025-03-13,2025-04-04 00:00:00,Paid,55000
BKG1160,Anil,Singapore,Honeymoon,2025-08-05,2025-08-09 00:00:00,paid,25000
BKG1161,Nisha,United Arab Emirates,Corporate,2025-04-04,None,Cancelled,25000
BKG1162,Ritika,UK,Leisure,2025-05-23,2025-06-08 00:00:00,Paid,55000
BKG1163,Gaurav,UAE,Family,2025-08-25,2025-09-17 00:00:00,Paid,55000
BKG1164,Monika,Singapore,Honeymoon,2025-05-08,None,Cancelled,65000
BKG1165,Divya,UAE,Corporate,2025-02-08,2025-03-10 00:00:00,Paid,"45,000 INR"
BKG1166,Tina,Thailand,Adventure,2025-08-15,2025-08-30 00:00:00,Paid,45000
BKG1167,Suresh,India,Leisure,2025-02-20,None,Cancelled,55000
BKG1168,Monika,UK,Corporate,2025-01-26,2025-01-29 00:00:00,Paid,35000
BKG1169,Karan,UAE,Adventure,2025-01-08,2025-02-06 00:00:00,Paid,25000
BKG1170,Arjun,India,Corporate,2025-02-17,None,Pending,55000
BKG1171,Ritika,Singapore,Honeymoon,2025-05-02,None,Cancelled,35000
BKG1172,Monika,India,Honeymoon,2025-03-27,None,Pending,35000
BKG1173,Tina,UK,Honeymoon,2025-07-28,2025-07-31 00:00:00,Paid,35000
BKG1174,Amit,UAE,Leisure,2025-09-06,2025-09-17 00:00:00,Paid,65000
BKG1175,Amit,Thailand,Honeymoon,2025-09-04,2025-09-24 00:00:00,Paid,65000
BKG1176,Anil,USA,Adventure,2025-04-20,None,Pending,35000
BKG1177,Sonia,Singapore,Corporate,2025-07-25,None,Pending,"45,000 INR"
BKG1178,Monika,UAE,Family,2025-01-31,2025-02-05 00:00:00,Paid,65000
BKG1179,Amit,UK,Adventure,2025-03-26,None,Cancelled,45000
BKG1180,Sameer,Singapore,Adventure,2025-07-14,2025-07-17 00:00:00,Paid,35000
BKG1181,Arjun,United Arab Emirates,Honeymoon,2025-01-02,2025-01-07 00:00:00,Paid,45000
BKG1182,Divya,India,Leisure,2025-07-19,2025-07-28 00:00:00,Paid,45000
BKG1183,Nisha  ,USA,Corporate,2025-05-16,2025-06-05 00:00:00,Paid,35000
BKG1184,Sameer,UK,Leisure,2025-08-21,None,Pending,25000
BKG1185,Nisha,United Arab Emirates,Corporate,2025-05-27,None,Pending,"45,000 INR"
BKG1186,Arjun,UAE,Corporate,2025-08-05,2025-08-26 00:00:00,Paid,35000
BKG1187,Raj,Thailand,Leisure,2025-09-07,None,Pending,35000
BKG1188,Arjun,Singapore,Adventure,2025-03-21,2025-04-09 00:00:00,Paid,65000
BKG1189,Sonia,India,Corporate,2025-04-08,None,Pending,35000
BKG1190,Anil,Singapore,Leisure,2025-06-01,2025-06-19 00:00:00,paid,25000
BKG1191,Avtar,USA,Corporate,2025-04-22,2025-05-15 00:00:00,Paid,65000
BKG1192,Raj,UAE,Family,2025-01-30,None,Pending,15000
BKG1193,Meena,Singapore,Adventure,2025-02-01,2025-02-12 00:00:00,Paid,15000
BKG1194,Avtar,India,Honeymoon,2025-06-10,2025-06-23 00:00:00,Paid,45000
BKG1195,Anil,UAE,Corporate,2025-01-30,2025-02-19 00:00:00,Paid,"45,000 INR"
BKG1196,Tina,Singapore,Family,2025-01-26,None,Pending,45000
BKG1197,Meena,Thailand,Honeymoon,2025-09-02,None,Pending,25000
BKG1198,Ramesh,UK,Honeymoon,2025-09-15,2025-10-02 00:00:00,Paid,55000
BKG1199,Sameer,UAE,Corporate,2025-03-22,None,Cancelled,"45,000 INR"
BKG1200,Raj,UK,Leisure,2025-01-30,None,Pending,15000
BKG1201,Amit,UAE,Corporate,2025-09-18,None,Cancelled,45000
BKG1202,Amit,Thailand,Family,2025-02-11,None,Pending,15000
BKG1203,Arjun,UK,Honeymoon,2025-04-06,None,Pending,25000
BKG1204,Suresh,United Arab Emirates,Corporate,2025-02-05,2025-02-15 00:00:00,Paid,25000
BKG1205,Ritika,India,Leisure,2025-02-04,2025-02-19 00:00:00,Paid,55000
BKG1206,Anil,United Arab Emirates,Corporate,2025-05-01,2025-05-18 00:00:00,PAID,55000
BKG1207,Amit,Singapore,Adventure,2025-07-26,2025-08-15 00:00:00,Paid,65000
BKG1208,Gaurav,Thailand,Leisure,2025-03-03,2025-03-17 00:00:00,PAID,"45,000 INR"
BKG1209,Karan,United Arab Emirates,Family,2025-05-07,None,Pending,25000
BKG1210,Karan,UAE,Honeymoon,2025-01-21,2025-01-25 00:00:00,Paid,45000
BKG1211,Sonia,Singapore,Corporate,2025-02-11,2025-03-09 00:00:00,Paid,15000
BKG1212,Sonia  ,Singapore,Leisure,2025-08-03,2025-08-26 00:00:00,Paid,35000
BKG1213,Sameer,United Arab Emirates,Adventure,2025-09-25,2025-09-29 00:00:00,paid,55000
BKG1214,Nisha,United Arab Emirates,Leisure,2025-06-11,2025-07-09 00:00:00,Paid,35000
BKG1215,Amit,Thailand,Adventure,2025-05-14,2025-06-04 00:00:00,Paid,45000
BKG1216,Amit,India,Family,2025-04-15,2025-05-06 00:00:00,Paid,55000
BKG1217,Sameer,United Arab Emirates,Honeymoon,2025-06-10,2025-07-09 00:00:00,Paid,35000
BKG1218,Arjun,USA,Family,2025-05-03,2025-05-28 00:00:00,Paid,"45,000 INR"
BKG1219,Anil,United Arab Emirates,Corporate,2025-05-16,2025-06-03 00:00:00,Paid,45000
BKG1220,Arjun,UK,Leisure,2025-07-22,None,Cancelled,15000
BKG1221,Tina,UAE,Adventure,2025-03-09,2025-04-02 00:00:00,Paid,"45,000 INR"
BKG1222,Suresh,USA,Adventure,2025-06-03,2025-07-01 00:00:00,Paid,45000
BKG1223,Avtar,USA,Leisure,2025-08-23,2025-08-30 00:00:00,Paid,65000
BKG1224,Divya,UK,Leisure,2025-06-11,2025-06-25 00:00:00,Paid,55000
BKG1225,Monika,UK,Corporate,2025-02-07,None,,25000
BKG1226,Avtar  ,Singapore,Family,2025-01-05,None,Pending,15000
BKG1227,Arjun,India,Adventure,2025-08-23,2025-09-07 00:00:00,Paid,"45,000 INR"
BKG1228,Sameer,UAE,Corporate,2025-02-21,None,Pending,"45,000 INR"
BKG1229,Amit,Thailand,Family,2025-02-07,2025-03-08 00:00:00,Paid,35000
BKG1230,Sameer  ,USA,Corporate,2025-04-20,2025-04-28 00:00:00,Paid,55000
BKG1231,Meena,Thailand,Adventure,2025-09-17,2025-10-01 00:00:00,PAID,25000
BKG1232,Vikram,United Arab Emirates,Leisure,2025-05-16,None,Pending,45000
BKG1233,Meena  ,United Arab Emirates,Leisure,2025-03-09,2025-03-20 00:00:00,PAID,25000
BKG1234,Ritika,Thailand,Family,2025-06-28,2025-07-25 00:00:00,Paid,55000
BKG1235,Sameer,United Arab Emirates,Honeymoon,2025-02-05,None,Pending,55000
BKG1236,Amit,India,Family,2025-05-06,2025-05-21 00:00:00,Paid,65000
BKG1237,Sonia,UK,Honeymoon,2025-07-09,2025-07-22 00:00:00,Paid,65000
BKG1238,Divya,United Arab Emirates,Corporate,2025-05-26,None,Cancelled,25000
BKG1239,Anil,Singapore,Corporate,2025-03-22,2025-04-05 00:00:00,Paid,45000
BKG1240,Divya,United Arab Emirates,Adventure,2025-08-13,None,Cancelled,25000
BKG1241,Anil  ,UAE,Honeymoon,2025-06-04,None,Pending,55000
BKG1242,Vikram,India,Adventure,2025-09-28,2025-10-22 00:00:00,Paid,55000
BKG1243,Amit,UAE,Leisure,2025-01-05,None,Pending,35000
BKG1244,Arjun,UAE,Honeymoon,2025-06-03,None,Pending,65000
BKG1245,Avtar,Singapore,Family,2025-02-23,2025-02-27 00:00:00,Paid,35000
BKG1246,Raj,India,Leisure,2025-03-10,None,Cancelled,15000
BKG1247,Sameer,India,Leisure,2025-05-16,None,Pending,55000
BKG1248,Suresh,India,Family,2025-03-01,2025-03-12 00:00:00,Paid,35000
BKG1249,Anil,India,Leisure,2025-02-24,None,Pending,25000
BKG1250,Amit,India,Honeymoon,2025-03-21,None,,65000
BKG1251,Gaurav  ,Singapore,Adventure,2025-05-20,2025-06-03 00:00:00,Paid,65000
BKG1252,Nisha,United Arab Emirates,Leisure,2025-05-25,None,Cancelled,45000
BKG1253,Vikram,UAE,Honeymoon,2025-04-18,2025-04-29 00:00:00,Paid,25000
BKG1254,Monika,India,Corporate,2025-06-25,None,Pending,45000
BKG1255,Monika,USA,Honeymoon,2025-04-15,None,Pending,35000
BKG1256,Pooja,United Arab Emirates,Adventure,2025-05-16,2025-06-07 00:00:00,Paid,"45,000 INR"
BKG1257,Nisha,United Arab Emirates,Honeymoon,2025-09-16,2025-09-25 00:00:00,Paid,15000
BKG1258,Avtar,UAE,Family,2025-09-08,None,Pending,25000
BKG1259,Ritika,Singapore,Adventure,2025-05-09,2025-05-21 00:00:00,Paid,25000
BKG1260,Anil,Thailand,Corporate,2025-01-27,None,Pending,25000
BKG1261,Deepa,Thailand,Family,2025-02-17,2025-02-22 00:00:00,Paid,45000
BKG1262,Anil,United Arab Emirates,Honeymoon,2025-08-05,None,Cancelled,35000
BKG1263,Karan,UK,Adventure,2025-05-22,None,Pending,25000
BKG1264,Amit  ,UK,Corporate,2025-01-23,2025-02-14 00:00:00,paid,"45,000 INR"
BKG1265,Nisha,UAE,Family,2025-01-02,2025-02-01 00:00:00,Paid,25000
BKG1266,Divya,Thailand,Corporate,2025-06-20,None,Pending,65000
BKG1267,Sameer,United Arab Emirates,Honeymoon,2025-03-08,None,Pending,15000
BKG1268,Suresh,Singapore,Corporate,2025-05-15,2025-05-31 00:00:00,Paid,65000
BKG1269,Suresh,Thailand,Leisure,2025-03-24,2025-03-27 00:00:00,Paid,65000
BKG1270,Gaurav,United Arab Emirates,Family,2025-08-15,2025-08-18 00:00:00,Paid,15000
BKG1271,Vikram,United Arab Emirates,Corporate,2025-08-07,None,Pending,"45,000 INR"
BKG1272,Monika,India,Honeymoon,2025-01-05,None,Pending,35000
BKG1273,Sameer,Singapore,Honeymoon,2025-02-27,2025-03-26 00:00:00,Paid,65000
BKG1274,Sonia,India,Corporate,2025-02-08,None,Pending,35000
BKG1275,Karan,UAE,Honeymoon,2025-03-18,2025-03-21 00:00:00,Paid,65000
BKG1276,Suresh,India,Adventure,2025-01-19,2025-01-22 00:00:00,Paid,55000
BKG1277,Vikram,USA,Adventure,2025-07-09,2025-07-23 00:00:00,PAID,15000
BKG1278,Sameer,India,Adventure,2025-03-17,2025-03-21 00:00:00,paid,65000
BKG1279,Anil,USA,Leisure,2025-08-09,None,Pending,55000
BKG1280,Arjun,Thailand,Corporate,2025-03-07,2025-03-31 00:00:00,Paid,45000
BKG1281,Anil,UK,Leisure,2025-01-22,None,Pending,55000
BKG1282,Sameer,United Arab Emirates,Honeymoon,2025-06-07,2025-07-01 00:00:00,Paid,25000
BKG1283,Meena,USA,Leisure,2025-07-06,2025-07-18 00:00:00,Paid,65000
BKG1284,Ramesh,Singapore,Honeymoon,2025-01-21,2025-02-16 00:00:00,Paid,55000
BKG1285,Sameer,India,Honeymoon,2025-07-03,None,Pending,35000
BKG1286,Avtar,USA,Family,2025-04-18,None,Pending,45000
BKG1287,Vikram,Singapore,Adventure,2025-05-08,2025-05-13 00:00:00,Paid,"45,000 INR"
BKG1288,Meena,UK,Honeymoon,2025-02-22,None,Pending,65000
BKG1289,Deepa,UK,Family,2025-07-01,2025-07-19 00:00:00,paid,25000
BKG1290,Ritika,India,Adventure,2025-07-28,2025-07-30 00:00:00,Paid,"45,000 INR"
BKG1291,Ramesh,UAE,Honeymoon,2025-03-21,None,Pending,55000
BKG1292,Ritika,India,Honeymoon,2025-05-02,None,Cancelled,"45,000 INR"
BKG1293,Suresh,Thailand,Leisure,2025-03-25,2025-04-13 00:00:00,Paid,"45,000 INR"
BKG1294,Avtar,USA,Leisure,2025-04-01,2025-04-19 00:00:00,Paid,45000
BKG1295,Anil,United Arab Emirates,Adventure,2025-07-31,None,Pending,"45,000 INR"
BKG1296,Sonia  ,UAE,Honeymoon,2025-01-13,None,Pending,"45,000 INR"
BKG1297,Tina,India,Corporate,2025-04-02,None,Cancelled,65000
BKG1298,Amit,Singapore,Leisure,2025-06-20,2025-07-08 00:00:00,Paid,45000
BKG1299,Raj,UAE,Adventure,2025-07-30,None,,25000
BKG1300,Ramesh,USA,Honeymoon,2025-05-08,2025-05-19 00:00:00,Paid,55000
BKG1301,Sameer,UAE,Honeymoon,2025-05-17,2025-06-08 00:00:00,Paid,45000
BKG1302,Meena,USA,Corporate,2025-03-23,None,Pending,45000
BKG1303,Pooja,India,Adventure,2025-02-25,2025-03-01 00:00:00,Paid,15000
BKG1304,Raj,USA,Honeymoon,2025-07-15,2025-07-29 00:00:00,Paid,45000
BKG1305,Divya,UAE,Leisure,2025-01-20,2025-02-01 00:00:00,Paid,15000
BKG1306,Pooja,Singapore,Corporate,2025-08-29,2025-09-26 00:00:00,Paid,55000
BKG1307,Arjun,UK,Adventure,2025-04-24,2025-05-16 00:00:00,Paid,"45,000 INR"
BKG1308,Anil,UAE,Corporate,2025-04-13,2025-05-08 00:00:00,PAID,65000
BKG1309,Avtar,USA,Leisure,2025-08-24,2025-09-07 00:00:00,Paid,65000
BKG1310,Vikram,UK,Adventure,2025-06-29,None,Pending,55000
BKG1311,Amit,USA,Corporate,2025-06-06,None,Pending,55000
BKG1312,Vikram,Singapore,Family,2025-04-27,2025-05-25 00:00:00,paid,35000
BKG1313,Gaurav,USA,Leisure,2025-04-25,2025-05-25 00:00:00,Paid,"45,000 INR"
BKG1314,Nisha,India,Leisure,2025-01-13,None,Cancelled,55000
BKG1315,Deepa,United Arab Emirates,Leisure,2025-04-09,None,Pending,45000
BKG1316,Ritika,UAE,Family,2025-07-24,None,Pending,65000
BKG1317,Ritika,United Arab Emirates,Family,2025-06-18,None,Pending,25000
BKG1318,Nisha,USA,Honeymoon,2025-05-23,None,Cancelled,65000
